Feature,Importance
height_of_bcl_t+6,0.0013108364250316244
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t-4,0.0012952056469272633
distance_to_boundary_dynamic_earr_in_oft_t+2,0.0012925810066489816
distance_between_neck_and_bcl_on_z_t-5,0.0012832639422659198
speed_of_tailbase_in_xyz_t+1,0.0012791049195652745
height_of_headcentre_t-8,0.0012783469077741463
distance_between_bodycentre_and_hipl_on_z_t-2,0.0012774837994237215
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t-1,0.0012711776628598053
height_of_bodycentre_t+9,0.0012662024667357144
distance_between_bodycentre_and_hipl_on_z_t+2,0.001253410776153418
speed_of_tailbase_in_xyz_t+12,0.0012370691756335055
height_of_bcr_t-5,0.0012349703676557972
distance_between_neck_and_bodycentre_on_z_t-3,0.0012343208115230694
speed_of_nose_in_xyz_t-8,0.0012313880402622878
height_of_bcl_t-3,0.0012299286856335746
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t0,0.001228513768952237
height_of_neck_t+11,0.0012256441317901358
speed_of_nose_in_xyz_t-3,0.0012199214403600738
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+11,0.0012153558882540333
height_of_headcentre_t-11,0.0012139540086639942
height_of_earl_t-2,0.0012090444034151117
height_of_neck_t-7,0.0012007343177946426
height_of_earr_t-15,0.0011994810094476918
distance_between_neck_and_bodycentre_on_z_t+11,0.001196551254104019
height_of_headcentre_t+2,0.0011867438322956812
distance_between_bodycentre_and_tailbase_on_x_t-9,0.0011671670557947312
standard_deviation_headcentre_t+6,0.0011669847754771955
distance_to_boundary_dynamic_earr_in_oft_t0,0.0011576229394135327
distance_between_bodycentre_and_tailbase_on_y_t-15,0.0011519119526169513
distance_between_bodycentre_and_tailbase_on_y_t+3,0.0011446485874422336
distance_between_bodycentre_and_tailbase_on_z_t+14,0.0011435548571231986
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+6,0.0011422507887875093
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t-1,0.0011317480346259001
distance_between_bodycentre_and_tailbase_on_x_t-12,0.0011289581104589603
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t-3,0.0011289303178894507
distance_to_boundary_dynamic_earl_in_oft_t+2,0.0011271059656081347
distance_to_boundary_dynamic_earl_in_oft_t-10,0.001123306481100661
distance_between_bodycentre_and_tailbase_on_y_t+5,0.001118629435005322
speed_of_tailbase_in_xyz_t+3,0.0011176757127732044
height_of_bcr_t-7,0.0011140368512992794
speed_of_headcentre_in_xyz_t-10,0.0011099972550226997
distance_between_bodycentre_and_tailbase_on_x_t+9,0.0011040827389773222
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t-13,0.0011028118893426813
distance_between_neck_and_bcl_on_z_t-8,0.001100871661653307
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t-9,0.001087891554245617
distance_to_boundary_dynamic_headcentre_in_oft_t-14,0.001087275562086574
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t-6,0.0010867111890887906
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+2,0.0010803857995864247
distance_to_boundary_dynamic_earl_in_oft_t-13,0.00107798023612663
distance_to_boundary_dynamic_earr_in_oft_t-9,0.0010737996369285985
distance_between_neck_and_bcl_on_y_t-2,0.0010717852021982527
distance_between_bcr_and_hipr_on_z_t+9,0.0010654404865576852
height_of_neck_t+14,0.0010448819204528501
standard_deviation_headcentre_t+2,0.001042241294816374
distance_between_neck_and_bodycentre_on_x_t-11,0.0010416415373587307
height_of_earl_t+1,0.0010322865151520192
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t+4,0.0010301925455641935
speed_of_bcl_in_xyz_t0,0.0010244286999239519
distance_between_bcl_and_hipl_on_y_t-6,0.001010433485234052
distance_between_neck_and_bodycentre_on_z_t-7,0.0010079439631918525
distance_between_neck_and_bcr_on_z_t+6,0.0010031930733498528
speed_of_headcentre_in_xyz_t-11,0.0010025047723772596
distance_between_bodycentre_and_tailbase_on_y_t-5,0.0009994499509225765
standard_deviation_headcentre_t-5,0.0009984406833096545
distance_between_bodycentre_and_tailbase_on_y_t+13,0.0009898611418084223
height_of_bcl_t-10,0.0009846632446082729
distance_to_boundary_dynamic_neck_in_oft_t-9,0.000984068543588672
distance_between_neck_and_bodycentre_on_y_t+7,0.0009835640662591895
distance_between_bodycentre_and_tailbase_on_y_t-6,0.0009829306478483424
speed_of_tailbase_in_xyz_t-8,0.000979579424060611
speed_of_nose_in_xyz_t+3,0.0009744557928895226
